New England,17.86
Connecticut,20.43
Maine,15.23
Massachusetts,17.74
New Hampshire,16.9
Rhode Island,15.31
Vermont,15.21
Middle Atlantic,14.68
New Jersey,15.89
New York,17.45
Pennsylvania,11.61
East North Central,11.13
Illinois,11.89
Indiana,9.86
Michigan,10.98
Ohio,10.99
Wisconsin,11.91
West North Central,8.96
Iowa,10.29
Kansas,9.69
Minnesota,10.01
Missouri,8.15
Nebraska,7.98
North Dakota,7.34
South Dakota,8.18
South Atlantic,11.35
Delaware,14.2
District of Columbia,12.73
Florida,12.33
Georgia,9.85
Maryland,14.82
North Carolina,10.31
South Carolina,10.51
Virginia,10.73
West Virginia,7.97
East South Central,9.73
Alabama,10.88
Kentucky,8.52
Mississippi,10.4
Tennessee,9.45
West South Central,11.58
Arkansas,9.43
Louisiana,8.73
Oklahoma,8.82
Texas,13.02
Mountain,9.78
Arizona,10.65
Colorado,9.57
Idaho,7.28
Montana,8.65
Nevada,12.97
New Mexico,9.65
Utah,8.17
Wyoming,8.34
Pacific Contiguous,11.56
California,14.21
Oregon,8.65
Washington,7.71
Pacific Noncontiguous,20.01
Alaska,16.95
Hawaii,22.19
